number_params,error_rate,incorrect_inputs
1,1.0,1
2,0.0,0
3,0.0,0
4,0.25,1
5,0.6,3
6,0.3333333333333333,2
7,0.14285714285714285,1
8,0.5,4
9,0.4444444444444444,4
10,0.1,1
11,0.2727272727272727,3
12,0.08333333333333333,1
13,0.38461538461538464,5
14,0.0,0
15,0.4,6
16,0.0625,1
17,0.17647058823529413,3
18,0.3333333333333333,6
19,0.2631578947368421,5
20,0.25,5
21,0.38095238095238093,8
22,0.3181818181818182,7
23,0.21739130434782608,5
24,0.3333333333333333,8
25,0.28,7
26,0.2692307692307692,7
27,0.3333333333333333,9
28,0.32142857142857145,9
29,0.27586206896551724,8
30,0.3,9
31,0.12903225806451613,4
32,0.28125,9
33,0.48484848484848486,16
34,0.2647058823529412,9
35,0.17142857142857143,6
36,0.3055555555555556,11
37,0.13513513513513514,5
38,0.3157894736842105,12
