number_params,error_rate,incorrect_inputs
1,0.0,0
2,0.0,0
3,0.0,0
4,0.25,1
5,0.0,0
6,0.3333333333333333,2
7,0.14285714285714285,1
8,0.25,2
9,0.3333333333333333,3
10,0.1,1
11,0.09090909090909091,1
12,0.16666666666666666,2
13,0.15384615384615385,2
14,0.14285714285714285,2
15,0.13333333333333333,2
16,0.125,2
17,0.11764705882352941,2
18,0.05555555555555555,1
19,0.10526315789473684,2
20,0.1,2
21,0.19047619047619047,4
22,0.36363636363636365,8
23,0.17391304347826086,4
24,0.08333333333333333,2
25,0.08,2
26,0.11538461538461539,3
27,0.2222222222222222,6
28,0.07142857142857142,2
29,0.06896551724137931,2
30,0.16666666666666666,5
31,0.06451612903225806,2
32,0.125,4
33,0.12121212121212122,4
34,0.14705882352941177,5
35,0.11428571428571428,4
36,0.1111111111111111,4
37,0.13513513513513514,5
38,0.13157894736842105,5
39,0.1282051282051282,5
